,Year,RK_x,Team,League_x,G_x,AB,R_x,H_x,2B,3B,HR_x,RBI,BB_x,SO_x,SB_x,CS_x,AVG▼_x,OBP,SLG,OPS,RK_y,League_y,W,L,ERA,G_y,GS_x,SV,SVO,IP,H_y,R_y,ER,HR_y,BB_y,SO_y,AVG▼_y,WHIP,RK,League,G,GS_y,INN,TC,PO,A,E,DP,SB_y,CS_y,SBPCT,PB,C_WP,FPCT▼,DER,Playoff
16,2018.0,17,St. Louis Cardinals,NL,162,5498,759,1369,248,9,205,725,525,1380,63,32,0.249,0.321,0.409,0.73,18,NL,88,74,3.85,162,162,43,64,1455.1,1354,691,622,144,593,1337,0.24600000000000002,1.34,30,NL,162,1458,13098.0,6039,4366,1540,133,151,47,13,0.7829999999999999,7,63,0.978,0.688,0.0
17,2018.0,18,Kansas City Royals,AL,162,5505,638,1350,283,29,155,606,427,1310,117,38,0.245,0.305,0.392,0.6970000000000001,2,AL,58,104,4.94,162,162,33,57,1432.0,1542,833,786,205,549,1157,0.275,1.46,6,AL,162,1458,12888.0,5902,4296,1529,77,142,60,33,0.645,10,68,0.987,0.68,0.0
18,2018.0,19,Toronto Blue Jays,AL,162,5477,709,1336,320,16,217,680,499,1387,47,30,0.244,0.312,0.42700000000000005,0.7390000000000001,5,AL,73,89,4.85,162,162,39,59,1433.2,1476,832,772,208,551,1298,0.265,1.41,23,AL,162,1458,12903.0,5849,4301,1447,101,138,136,39,0.777,8,71,0.983,0.679,0.0
19,2018.0,20,Los Angeles Angels,AL,162,5472,721,1323,249,23,214,690,514,1300,89,22,0.242,0.313,0.413,0.726,16,AL,80,82,4.15,162,162,35,61,1437.1,1353,722,662,205,546,1386,0.248,1.32,5,AL,162,1458,12936.0,5890,4312,1502,76,173,46,33,0.5820000000000001,18,87,0.987,0.6940000000000001,0.0
20,2018.0,21,Detroit Tigers,AL,162,5494,630,1326,284,35,135,597,428,1341,70,30,0.24100000000000002,0.3,0.38,0.68,6,AL,64,98,4.58,162,162,37,61,1425.1,1423,796,726,216,491,1215,0.258,1.34,18,AL,162,1458,12828.0,5799,4276,1428,95,126,79,37,0.6809999999999999,8,54,0.9840000000000001,0.695,0.0
21,2018.0,22,Chicago White Sox,AL,162,5523,656,1332,259,40,182,639,425,1594,98,41,0.24100000000000002,0.302,0.401,0.703,9,AL,62,100,4.83,162,162,34,53,1437.0,1404,848,771,196,653,1259,0.254,1.43,27,AL,162,1458,12933.0,5856,4311,1431,114,134,133,39,0.773,20,94,0.981,0.6920000000000001,0.0
22,2018.0,23,Texas Rangers,AL,162,5453,737,1308,266,24,194,696,555,1484,74,35,0.24,0.318,0.40399999999999997,0.722,3,AL,67,95,4.92,162,162,42,56,1431.0,1516,848,783,222,491,1121,0.271,1.4,28,AL,162,1458,12879.0,5971,4293,1558,120,168,76,18,0.809,13,57,0.98,0.6829999999999999,0.0
23,2018.0,24,Baltimore Orioles,AL,162,5507,622,1317,242,15,188,593,422,1412,81,22,0.239,0.298,0.391,0.6890000000000001,1,AL,47,115,5.18,162,162,28,46,1431.0,1552,892,824,234,589,1203,0.276,1.5,24,AL,162,1458,12879.0,5934,4293,1537,104,159,89,42,0.679,9,81,0.982,0.675,0.0
24,2018.0,25,San Francisco Giants,NL,162,5541,603,1324,255,30,133,573,448,1467,77,34,0.239,0.3,0.368,0.667,12,NL,73,89,3.95,162,162,36,66,1461.1,1387,699,641,156,524,1269,0.251,1.31,16,NL,162,1458,13152.0,6086,4384,1605,97,160,93,31,0.75,9,44,0.9840000000000001,0.691,0.0
25,2018.0,26,Miami Marlins,NL,161,5488,589,1303,222,24,128,554,455,1384,45,31,0.237,0.303,0.35700000000000004,0.659,10,NL,63,98,4.76,161,161,30,53,1442.0,1388,809,762,192,605,1249,0.254,1.38,9,NL,161,1449,12978.0,5857,4326,1448,83,133,60,42,0.588,10,47,0.986,0.6990000000000001,0.0
26,2018.0,27,Arizona Diamondbacks,NL,162,5460,693,1283,259,50,176,658,560,1460,79,25,0.235,0.31,0.397,0.7070000000000001,22,NL,82,80,3.72,162,162,39,66,1463.0,1313,644,605,174,522,1448,0.239,1.25,3,NL,162,1458,13167.0,6150,4389,1686,75,152,66,27,0.71,6,69,0.988,0.6990000000000001,0.0
27,2018.0,28,San Diego Padres,NL,162,5486,617,1289,250,30,162,583,471,1523,95,36,0.235,0.297,0.38,0.677,8,NL,66,96,4.4,162,162,36,53,1457.0,1430,767,713,185,519,1399,0.256,1.34,20,NL,162,1458,13113.0,6010,4371,1539,100,127,88,30,0.746,12,52,0.983,0.6829999999999999,0.0
28,2018.0,29,New York Mets,NL,162,5468,676,1282,265,34,170,649,566,1404,71,39,0.23399999999999999,0.312,0.389,0.701,17,NL,77,85,4.07,162,162,41,59,1460.2,1364,707,661,185,484,1446,0.24600000000000002,1.27,14,NL,162,1458,13146.0,5876,4382,1406,88,121,134,36,0.7879999999999999,9,26,0.985,0.691,0.0
29,2018.0,30,Philadelphia Phillies,NL,162,5424,677,1270,241,30,186,653,582,1520,69,26,0.23399999999999999,0.314,0.39299999999999996,0.7070000000000001,15,NL,80,82,4.14,162,162,44,64,1445.2,1366,728,665,171,500,1465,0.249,1.29,29,NL,162,1458,13011.0,5938,4337,1478,123,138,100,35,0.741,18,81,0.9790000000000001,0.68,0.0
