Year,RK,Team,League,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG▼,OBP,SLG,OPS
,23,Tampa Bay Devil Rays,AL,162,5524,672,1426,311,21,121,645,456,1116,115,52,0.258,0.320,0.388,0.707
,24,Los Angeles Dodgers,NL,162,5493,758,1399,264,27,206,714,519,1062,89,42,0.255,0.323,0.425,0.748
,25,Montreal Expos,NL,162,5379,670,1361,320,28,131,622,478,1071,101,51,0.253,0.319,0.396,0.715
,26,San Diego Padres,NL,162,5482,789,1379,273,26,161,753,678,1273,129,44,0.252,0.336,0.399,0.735
,27,Milwaukee Brewers,NL,162,5488,740,1378,273,30,209,712,488,1399,66,36,0.251,0.319,0.426,0.745
,28,New York Mets,NL,162,5459,642,1361,273,18,147,608,545,1062,66,48,0.249,0.323,0.387,0.710
,29,Baltimore Orioles,AL,162,5472,687,1359,262,24,136,663,514,989,133,53,0.248,0.319,0.380,0.699
,30,Pittsburgh Pirates,NL,162,5398,657,1333,256,25,161,618,467,1106,93,73,0.247,0.313,0.393,0.706
2000,1,Colorado Rockies,NL,162,5660,968,1664,320,53,161,905,601,907,131,61,0.294,0.362,0.455,0.816
,2,Cleveland Indians,AL,162,5683,950,1639,310,30,221,889,685,1057,113,34,0.288,0.367,0.470,0.837
,3,Kansas City Royals,AL,162,5709,879,1644,281,27,150,831,511,840,121,35,0.288,0.348,0.425,0.773
,4,Chicago White Sox,AL,162,5646,978,1615,325,33,216,926,591,960,119,42,0.286,0.356,0.470,0.826
,5,Texas Rangers,AL,162,5648,848,1601,330,35,173,806,580,922,69,47,0.283,0.352,0.446,0.798
,6,Anaheim Angels,AL,162,5628,864,1574,309,34,236,837,608,1024,93,52,0.280,0.352,0.472,0.825
,7,San Francisco Giants,NL,162,5519,925,1535,304,44,226,889,709,1032,79,39,0.278,0.362,0.472,0.834
,8,Houston Astros,NL,162,5570,938,1547,289,36,249,900,673,1129,114,52,0.278,0.361,0.477,0.837
,9,New York Yankees,AL,161,5556,871,1541,294,25,205,833,631,1007,99,48,0.277,0.354,0.450,0.804
,10,Detroit Tigers,AL,162,5644,823,1553,307,41,177,785,562,982,83,38,0.275,0.343,0.438,0.781
,11,Toronto Blue Jays,AL,162,5677,861,1562,328,21,244,826,526,1026,89,34,0.275,0.341,0.469,0.810
,12,Cincinnati Reds,NL,163,5635,825,1545,302,36,200,794,559,995,99,38,0.274,0.343,0.447,0.790
,13,Baltimore Orioles,AL,162,5549,794,1508,310,22,184,750,558,900,126,65,0.272,0.341,0.435,0.776
,14,Atlanta Braves,NL,162,5489,810,1490,274,26,179,758,595,1010,148,56,0.271,0.346,0.429,0.775
,15,St. Louis Cardinals,NL,162,5478,887,1481,259,25,235,841,675,1253,87,51,0.270,0.356,0.455,0.812
,16,Minnesota Twins,AL,162,5615,748,1516,325,49,116,711,556,1021,90,45,0.270,0.337,0.407,0.744
,17,Oakland Athletics,AL,161,5560,947,1501,281,23,239,908,750,1159,40,15,0.270,0.360,0.458,0.817
,18,Seattle Mariners,AL,162,5497,907,1481,300,26,198,869,775,1073,122,56,0.269,0.361,0.442,0.803
,19,Boston Red Sox,AL,162,5630,792,1503,316,32,167,755,611,1019,43,30,0.267,0.341,0.423,0.764
,20,Pittsburgh Pirates,NL,162,5643,793,1506,320,31,168,749,564,1032,86,40,0.267,0.339,0.424,0.762
,21,Montreal Expos,NL,162,5535,738,1475,310,35,178,705,476,1048,58,48,0.266,0.326,0.432,0.758
,22,Arizona Diamondbacks,NL,162,5527,792,1466,282,44,179,756,535,975,97,44,0.265,0.333,0.429,0.763
,23,New York Mets,NL,162,5486,807,1445,282,20,198,761,675,1037,66,46,0.263,0.346,0.430,0.776
,24,Florida Marlins,NL,161,5509,731,1441,274,29,160,691,540,1184,168,55,0.262,0.331,0.409,0.740
,25,Los Angeles Dodgers,NL,162,5481,798,1408,265,28,211,756,668,1083,95,42,0.257,0.341,0.431,0.771
,26,Tampa Bay Devil Rays,AL,161,5505,733,1414,253,22,162,692,558,1022,90,46,0.257,0.329,0.399,0.728
,27,Chicago Cubs,NL,162,5577,764,1426,272,23,183,722,632,1120,93,37,0.256,0.335,0.411,0.746
,28,San Diego Padres,NL,162,5560,752,1413,279,37,157,714,602,1177,131,53,0.254,0.330,0.402,0.732
,29,Philadelphia Phillies,NL,162,5511,708,1386,304,40,144,668,611,1117,102,30,0.251,0.329,0.400,0.729
,30,Milwaukee Brewers,NL,163,5563,740,1366,297,25,177,708,620,1245,72,44,0.246,0.325,0.403,0.729
